ranks,time
1,0.0263954
2,0.02718
0.0269343
4,0.0282265
0.0322024
0.0281196
0.0293907
8,0.0406606
0.0447614
0.0307448
0.0340375
0.036317
0.0285747
0.043525
0.0422161
