ranks,time
1,0.0264328
2,0.0270422
0.0262383
4,0.0295348
0.0374452
0.0364258
0.032457
8,0.0364683
0.0379305
0.0312718
0.0349461
0.0327736
0.0355086
0.0381798
0.043582
